mol_id,smiles,pIC50
CHEMBL2401823,C[C@@H](Oc1c(N)ncc2c(coc12)c3cccnc3)c4c(Cl)ccc(F)c4Cl,6.28
CHEMBL496102,COc1ccc2c(OCc3nnc4ccc(nn34)c5ccccc5)ccnc2c1,8.05
CHEMBL567908,COc1ccc2c(OCc3nnc4ccc(nn34)c5cc(C)ns5)ccnc2c1,8.52
CHEMBL566683,COc1ccc2c(NCc3nnc4ccc(nn34)c5ccccc5)ccnc2c1,5.87
CHEMBL566875,COc1cnc2c(NCc3nnc4ccc(nn34)c5ccccc5)ccnc2c1,7.77
CHEMBL566242,COc1cnc2c(NCc3nnc4ccc(nn34)c5ccc(F)c(F)c5)ccnc2c1,8.05
CHEMBL1789964,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(c3)N(CC(C)C)C(=O)CCC4(C)C)ncc2Cl,6.67
CHEMBL1644806,CNC(=O)c1cccc(Cl)c1Nc2nc(Nc3ccc4NC(=O)CCC(C)(C)c4c3)ncc2Cl,5.78
CHEMBL1644812,CCN1C(=O)CCC(C)(C)c2ccc(Nc3ncc(Cl)c(Nc4c(F)cccc4C(=O)NC)n3)cc12,8.0
CHEMBL1644802,CN1C(=O)CCCc2cc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NCC#C)n3)ccc12,7.77
CHEMBL1644812,CCN1C(=O)CCC(C)(C)c2ccc(Nc3ncc(Cl)c(Nc4c(F)cccc4C(=O)NC)n3)cc12,7.36
CHEMBL1642140,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)OCCCN(C)C)ncc2Cl,7.55
CHEMBL1642142,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCN5CCCC5)CCCOc4c3)ncc2Cl,7.66
CHEMBL3334563,N#Cc1ccc(cn1)c2cnc3nnn(Cc4ccc5nccn5c4)c3n2,7.58
CHEMBL509101,Fc1ccc(cc1)N2C=CC=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O,8.74
CHEMBL503901,Fc1ccc(cc1)C2=CN(C=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O)c6ccc(Cl)c(F)c6,8.64
CHEMBL455386,Fc1ccc(cc1)C2=CN(C=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O)C6CC6,8.47
CHEMBL452306,NC(=O)c1ccc(cc1)N2C=CC=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O,6.0
CHEMBL3322565,COc1ccc(NC(=O)CC(=O)Nc2ccc3\C(=C\c4[nH]c(C)c(C(=O)O)c4C)\C(=O)Nc3c2)cc1,7.51
CHEMBL3309403,COc1cc2c(Oc3ccc(NC(=O)C4=NN(C(=O)c5ccccc45)c6cccc(F)c6)cc3F)ccnc2cc1OCCCN7CCCC7,8.37
CHEMBL3309410,COc1cc2c(Oc3ccc(NC(=O)C4=NN(C(=O)c5ccccc45)c6ccc(F)cc6)cc3F)ccnc2cc1OCCCN7CCN(C)CC7,8.7
CHEMBL3221109,[O-][N+](=O)c1cccc(CNc2cc(cc3ncc(cc23)N4CCN(CC4)C(=O)N5CCOCC5)C(F)(F)F)c1,8.29
CHEMBL3221113,CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)C(=O)C)c3c2)C(F)(F)F,6.81
CHEMBL497118,Cc1csc(c1)c2ccc3nnc(Cc4ccc(O)cc4)n3n2,8.7
CHEMBL522196,COc1ccc2c(OCc3nnc4ccc(nn34)c5ccc(F)c(F)c5)ccnc2c1,7.58
CHEMBL1644810,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4CCCC(=O)N(CCOC)c4c3)ncc2Cl,8.0
CHEMBL1644811,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(NC(=O)CCC4(C)C)c3)ncc2Cl,8.0
CHEMBL1097824,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c5N)c6ccccc6)cc4F)c3s2,6.75
CHEMBL1095357,CN(C)CCN(C)C(=O)c1ccc(cc1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,7.52
CHEMBL1095359,CN(C)C(=O)c1ccc(nc1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,7.4
CHEMBL1170514,Cl.Cn1cc(cn1)c2cnc(N)c(c2)c3oc4ccccc4n3,5.68
CHEMBL1094718,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,6.3
CHEMBL462232,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6)cc4F)c3s2,7.1
CHEMBL1094718,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)c5cnn(c6ccccc6)c5C(F)(F)F)cc4F)c3s2,6.4
CHEMBL565782,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)N(C)c5ccccc5)cc4F)c3s2,7.51
CHEMBL1169794,Cl.COC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5ccccc5n4,7.24
CHEMBL602703,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccccc5)C(F)(F)F)cc4F)c3s2,6.92
CHEMBL602905,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4)c3s2,6.75
CHEMBL1172131,Cl.Nc1ncc(cc1c2oc3ccccc3n2)c4cnn(c4)C5CCN(CC5)C(=O)CO,7.58
CHEMBL1099175,Fc1cc(Nc2ncccc2C(=O)Nc3ccccc3Cl)ccc1Oc4ccnc5[nH]ccc45,7.62
CHEMBL1099204,Fc1ccc(NC(=O)c2cccnc2Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)nc1,7.47
CHEMBL1098475,Fc1cc(Nc2ncccc2C(=O)Nc3ccccc3)ccc1Oc4ccnc5[nH]ccc45,7.68
CHEMBL1098213,Fc1ccc(NC(=O)c2cnccc2Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)c(F)c1,6.57
CHEMBL1644811,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(NC(=O)CCC4(C)C)c3)ncc2Cl,7.27
CHEMBL270548,COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)Nc5ccc(Cl)cc5)c2cc1OC,6.52
CHEMBL1644815,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(c3)N(CCOC)C(=O)CCC4(C)C)ncc2Cl,7.07
CHEMBL1644809,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4CCCC(=O)Nc4c3)ncc2Cl,7.0
CHEMBL1642141,CCN1CCCOc2cc(Nc3ncc(Cl)c(Nc4c(F)cccc4C(=O)NC)n3)ccc12,7.85
CHEMBL1642144,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)C)ncc2Cl,7.52
CHEMBL1642146,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)COC)ncc2Cl,7.29
CHEMBL1642138,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)OC(C)C)ncc2Cl,7.33
CHEMBL1642140,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)OCCCN(C)C)ncc2Cl,7.35
CHEMBL1766545,COC(=O)N1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F,7.37
CHEMBL1644800,CCCNC(=O)c1ccccc1Nc2nc(Nc3ccc4N(C)C(=O)CCCc4c3)ncc2Cl,6.7
CHEMBL1644803,CN(CC#C)C(=O)c1ccccc1Nc2nc(Nc3ccc4N(C)C(=O)CCCc4c3)ncc2Cl,6.32
CHEMBL574864,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccc(F)cc5)cc3F)c2cc1OC,7.05
CHEMBL465130,CN(C(=O)CC(=O)Nc1ccc(Oc2ccnc3cc(sc23)c4cn(C)cn4)c(F)c1)c5ccccc5,7.37
