mol_id,smiles,pIC50
CHEMBL1090362,CCN1CCN(CC1)c2ccc(Nc3nccc(n3)c4c(nc5sccn45)c6cccc(NC(=O)Cc7ccccc7)c6)cc2,6.46
CHEMBL604485,COc1cc2ncnc(Nc3ccc(c(O)c3)c4nc5ccccc5s4)c2cc1OCCCN6CCN(C)CC6,5.48
CHEMBL567873,CCC1=C2C(N=CN=C2Nc3ccc4c(cnn4Cc5ccccc5)c3)N=C1NC(=O)OC[C@@H]6COCCN6,7.48
CHEMBL572031,CN(\N=N\c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C(=O)OC=C,6.14
CHEMBL583683,CN(\N=N\c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C(=O)OCCl,6.41
CHEMBL79704,OC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)O)[nH]c4ccccc14,5.38
CHEMBL326596,COc1ccc2c(NCc3ccccc3)ncnc2c1,7.24
CHEMBL52913,Clc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,7.28
CHEMBL91484,COc1cc2ncnc(NC3CC3c4ccccc4)c2cc1OCCCN(C)C,6.51
CHEMBL31326,CCN(CC)CCCSc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)C=C,9.11
CHEMBL418906,CC(C)(C)OC(=O)NCCNC(=O)c1ccc(cc1)S(=O)(=O)Oc2ccc(\C=C\[N+](=O)[O-])cc2,5.85
CHEMBL555797,Cl.COc1cc2ncnc(Nc3ccc4CCCc4c3)c2cc1OC,6.22
CHEMBL147761,Cc1c[nH]c(\C=C\2/C(=O)Nc3cccc(C)c23)c1CCC(=O)O,4.54
CHEMBL206003,NCc1cccc(n1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.68
CHEMBL432428,NC(=O)\C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)\C#N,6.03
CHEMBL32844,CN1CCN(CCCOc2cc3ncnc(Nc4cccc(Br)c4)c3cc2NC(=O)C=C)CC1,8.77
CHEMBL207445,COCC[C@H](N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)C(=O)N,7.3
CHEMBL279138,Oc1ccc(\C=C(/C#N)\C(=O)NCCCCCCCCNC(=O)\C(=C\c2ccc(O)c(O)c2)\C#N)cc1O,4.68
